"orden","id","dominant_topic","topic_perc_contrib","keywords","text","topic","organizacion","reg_id","cod_com_ine","rango_edades_id","cantidad_participantes","inst"
1,0,0,0.576900005340576,"comprometer, mejor, trabajo, demanda, respetuoso, escuela, asi, subir, ninos_nina, continuar","['estudiar', 'tener', 'mejor', 'trabajo', 'asi', 'persona', 'ganar', 'sueldo', 'minimo', 'ayuda', 'mas', 'facil', 'subir']","Respeto en la escuela","grupo scout rucamanqui (tropa 1)",6,6101,"10 a 13",8,"Otro"
2,1,5,0.444900006055832,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['chile', 'chileno']","Mejorar en el colegio","liceo   industrial",12,12101,"14 a 18",200,"Establecimiento Educacional"
3,2,4,0.546700000762939,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['involucrar', 'dar', 'opinión']","Ayudar y respetar a los compañeros","consejo consultivo de infancia",16,16108,"14 a 18",9,"Consejo Consultivo"
5,3,9,0.719900012016296,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['responder', 'inquietud', 'detectar', 'actual', 'crisis_social', 'vivir', 'pais']","Cuidar el medio ambiente","opd lebu",8,8201,"14 a 18",67,"Consejo Consultivo"
6,4,5,0.292400002479553,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['realizar', 'nuevo', 'dialogo', 'mas', 'tiempo']","Mejorar en el colegio","colegio villa cartago",5,5603,"4 a 5",13,"Establecimiento Educacional"
7,5,2,0.725799977779388,"espacio, participacion, mayor, mantener, generar, joven, calle, evitar, ambito, publico","['continuamente', 'iran', 'generar', 'espacio', 'permitir', 'ninos_nina', 'necesidad', 'potenciar', 'ademas', 'participacion', 'mejora', 'pretender', 'llevar', 'cabo']","Mayor incidencia en el ambito público","fútbol calle municipalidad",5,5602,"6 a 9",7,"Otro"
8,6,9,0.646399974822998,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['traspasar', 'informacion', 'ministerio', 'desarrollo', 'social']","Cuidar el medio ambiente","escuela villa mercedes 6to basico",8,8309,"10 a 13",10,"Establecimiento Educacional"
9,7,9,0.646399974822998,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['traspasar', 'informacion', 'ministerio', 'desarrollo', 'social']","Cuidar el medio ambiente","escuela villa mercedes 6to basico",8,8309,"10 a 13",8,"Establecimiento Educacional"
10,8,3,0.19760000705719,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['tratar', 'dialogar', 'solucionar', 'conflicto']","Mayor asistencia a Diálogos/Cabildos","municipalidad de salamanca",4,4204,"10 a 13",10,"Establecimiento Educacional"
11,9,3,0.504599988460541,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['actividad', 'destinado', 'edade']","Mayor asistencia a Diálogos/Cabildos","opd",10,10109,"10 a 13",7,"Programa Sename"
12,10,5,0.612100005149841,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['seguir', 'avanzado', 'pais', 'canalizar', 'dialogo', 'realizado', 'adulto', 'lograr', 'asi', 'mejora', 'suplir', 'necesidad', 'detectado', 'anterior', 'planteo', 'flujo', 'canal', 'informacion', 'ej', 'coordinador', 'oficina', 'local', 'alcalde', 'ministro', 'presidencia']","Mejorar en el colegio","oficina local de la niñez",4,4101,"6 a 9",12,"Establecimiento Educacional"
13,11,8,0.707599997520447,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['comentar', 'comentar', 'par', 'respecto', 'resultado', 'sesion', 'fin', 'promocionar', 'realizacion', 'dialogo', 'reflexivo', 'contexto', 'educativo']","Mayor participación en instancias de diálogo","opd zona sur consejo de infancia",10,10201,"10 a 13",13,"Consejo Consultivo"
14,12,4,0.565199971199036,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['reunir', 'entregar', 'informacion', 'opinión', 'responsable', 'fenomeno', 'nivel', 'local']","Ayudar y respetar a los compañeros","opd rinconada y chile crece contigo",5,5303,"10 a 13",9,"Oficina de Protección de Derechos"
18,13,3,0.561800003051758,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['tener', 'social', 'comuna']","Mayor asistencia a Diálogos/Cabildos","escuela jerónimo godoy villanueva",4,4105,"10 a 13",9,"Establecimiento Educacional"
19,14,3,0.230399996042252,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['mas', 'tranquilo', 'sala']","Mayor asistencia a Diálogos/Cabildos","jardín infantil los sarmientos",16,16206,"4 a 5",15,"Establecimiento Educacional"
20,15,7,0.523999989032745,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['trabajara', 'nuevamente', 'nino', 'facilitar', 'espacio', 'dialogo', 'necesidad']","Compromiso de obtener mejores notas","alumnos escuela valle de lonquen",16,16207,"4 a 5",29,"Establecimiento Educacional"
21,16,9,0.250999987125397,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['difusion', 'actividad', 'dar_conocer', 'propuesta', 'ninos_nina', 'sector', 'rural', 'nuevo', 'imperial']","Cuidar el medio ambiente","comunidad rural huacanilahue",9,9111,"4 a 5",10,"Otro"
22,17,1,0.481400012969971,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['dar_conocer', 'idea', 'necesidad', 'propuesto', 'directivo', 'establecimiento', 'educacional', 'plataforma', 'cabildo', 'alcaldia', 'ciudadano', 'plataforma', 'subsecretario', 'ninez']","Cuidar la convivencia","colegio jorge williams",5,5101,"10 a 13",34,"Oficina de Protección de Derechos"
23,18,8,0.732400000095367,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['ninos_nina', 'invitar', 'parea', 'participar', 'plebiscito', 'ciudadano', 'diciembre']","Mayor participación en instancias de diálogo","consejo consultivo de niños y niñas santa barbara",8,8311,"Todos",12,"Consejo Consultivo"
24,19,7,0.370299994945526,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['buen', 'nino', 'hijo']","Compromiso de obtener mejores notas","chcc coronel",8,8102,"Todos",25,"Otro"
25,20,8,0.46560001373291,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['contaminar', 'lago']","Mayor participación en instancias de diálogo","chile crece contigo",8,8204,"6 a 9",18,"Establecimiento Educacional"
26,21,5,0.58569997549057,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['realizar', 'nuevo', 'cabildo', 'abril', 'incorporen', 'joven', 'nuevo', 'trabajar', 'propuesto', 'grupo', 'ano', 'traves', 'objetivo', 'acuerdo', 'directivo']","Mejorar en el colegio","consejo consultivo cadan",7,7406,"14 a 18",11,"Consejo Consultivo"
27,22,6,0.481000006198883,"hacer, familia, rabioso, escuchar, agua, derecho, padre, gente, conversar, compartir","['cuidar', 'areas_verd', 'juego', 'infantil']","Compartir y conversar con la familia y la gente","liceo agroindustrial",7,7108,"6 a 9",32,"Establecimiento Educacional"
28,23,8,0.354099988937378,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['compromiso', 'adquirido', 'parte', 'establecimiento', 'permitir', 'realizacion', 'actividad', 'ninos_nina', 'ano']","Mayor participación en instancias de diálogo","programa chile crece contigo",5,5605,"4 a 5",22,"Establecimiento Educacional"
29,24,0,0.419400006532669,"comprometer, mejor, trabajo, demanda, respetuoso, escuela, asi, subir, ninos_nina, continuar","['fomentar', 'continuar', 'participar', 'activamente', 'instancia', 'desarrollar', 'comuna']","Respeto en la escuela","red de infancia y adolescencia",5,5101,"10 a 13",7,"Oficina de Protección de Derechos"
30,25,3,0.560000002384186,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['mayor', 'nna', 'municipio']","Mayor asistencia a Diálogos/Cabildos","oficina de protección de derechos de nna",5,5603,"14 a 18",43,"Oficina de Protección de Derechos"
31,26,8,0.269300013780594,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['cuidar', 'liceo']","Mayor participación en instancias de diálogo","chile crece contigo",1,1403,"6 a 9",15,"Establecimiento Educacional"
32,27,7,0.370299994945526,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['compromiso', 'parte', 'nino']","Compromiso de obtener mejores notas","departamento de salud",4,4302,"6 a 9",9,"Establecimiento Educacional"
33,28,8,0.371499985456467,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['adquirir', 'compromiso', 'hablar', 'cosa', 'suceder', 'familia']","Mayor participación en instancias de diálogo","departamento de salud municipal",4,4302,"6 a 9",19,"Establecimiento Educacional"
34,29,2,0.509999990463257,"espacio, participacion, mayor, mantener, generar, joven, calle, evitar, ambito, publico","['generar', 'mas', 'instancia', 'participacion', 'sector', 'urbano', 'rural']","Mayor incidencia en el ambito público","consejo consultivo",8,8109,"Todos",100,"Otro"
