"orden","id","dominant_topic","topic_perc_contrib","keywords","text","topic","organizacion","reg_id","cod_com_ine","rango_edades_id","cantidad_participantes","inst"
1,0,1,0.22859999537468,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['gobierno', 'subir', 'paulatinamente', 'sueldo_minimo']","Cambios y reformas políticas","grupo scout rucamanqui (tropa 1)",6,6101,"10 a 13",8,"Otro"
2,1,1,0.258199989795685,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['aumento', 'sueldo_minimo']","Cambios y reformas políticas","liceo   industrial",12,12101,"14 a 18",200,"Establecimiento Educacional"
3,2,9,0.204099997878075,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['realizar', 'acción', 'concreto', 'corto', 'plazo', 'educacion', 'trabajo', 'sueldo', 'calidad', 'vida', 'familiar']","Juventud consciente y comprometida","consejo consultivo de infancia",16,16108,"14 a 18",9,"Consejo Consultivo"
4,3,7,0.344099998474121,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['educacion', 'pedir']","Mejora integral a la educación","oficina local de la niñez santiago",13,13101,"Todos",20,"Oficina Local de la Niñez"
5,4,8,0.252700001001358,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['representacion', 'adolescente']","Mejores e inclusivos espacios públicos","opd lebu",8,8201,"14 a 18",67,"Consejo Consultivo"
6,5,1,0.470200002193451,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['papa', 'mama', 'trabajen', 'menos', 'pasar', 'mas', 'tiempo']","Cambios y reformas políticas","colegio villa cartago",5,5603,"4 a 5",13,"Establecimiento Educacional"
7,6,8,0.314999997615814,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mejorar', 'espacio', 'ejecucion', 'taller', 'pintura', 'cierre', 'basurero']","Mejores e inclusivos espacios públicos","fútbol calle municipalidad",5,5602,"6 a 9",7,"Otro"
8,7,8,0.306699991226196,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['ocurrir', 'malos_trato', 'injusticia']","Mejores e inclusivos espacios públicos","escuela villa mercedes 6to basico",8,8309,"10 a 13",10,"Establecimiento Educacional"
9,8,8,0.306699991226196,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['ocurrir', 'malos_trato', 'injusticia']","Mejores e inclusivos espacios públicos","escuela villa mercedes 6to basico",8,8309,"10 a 13",8,"Establecimiento Educacional"
10,9,6,0.196799993515015,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['dialogar', 'violencia']","Tiempo para la familia","municipalidad de salamanca",4,4204,"10 a 13",10,"Establecimiento Educacional"
